Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),3.7,22:00,05:00,07h 00m,"36 Seats available
17 Window",INR 510
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),3.4,21:00,04:25,07h 25m,"25 Seats available
13 Window",INR 400
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),3.1,23:00,07:00,08h 00m,"28 Seats available
14 Window",529
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,FlixBus,A/C Seater (2+2),4.5,20:00,05:00,09h 00m,39 Seats available,INR 619
Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),4.1,21:00,06:00,09h 00m,"41 Seats available
19 Window",INR 1666
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 802,Ordinary 3+2 Non AC Seater,3.9,12:40,23:15,10h 35m,"39 Seats available
14 Window",INR 559
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 725,Ordinary 3+2 Non AC Seater,3.9,13:35,22:30,08h 55m,"37 Seats available
13 Window",INR 567
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 724,Ordinary 3+2 Non AC Seater,3.9,14:20,01:00,10h 40m,"36 Seats available
12 Window",INR 567
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 707,A/C Executive (2+3),1.8,14:58,01:20,10h 22m,"42 Seats available
15 Window",INR 595
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 65,Himsuta AC Seater Volvo/Scania 2+2,3.8,15:00,23:00,08h 00m,"31 Seats available
13 Window",INR 920
